"$D1 [mm]","$D2 [mm]","$Lateral [mm]","Freq [GHz]","S(1,1) []"
3.625,3.625,60,1.8,0.00567169580982219 + 0.00502066499883269i
3.625,3.625,70,1.8,-0.00645246309561986 + 0.00669640815613988i
3.625,3.625,80,1.8,-0.0152720265172548 - 0.00567585957357661i
3.625,3.625,90,1.8,-0.0119402174452953 + 0.011489173792492i
3.625,3.625,100,1.8,-0.0153544076649224 - 0.00523125853465278i
3.625,4.625,10,1.8,-0.0148298075009015 + 0.00173326056977741i
3.625,4.625,20,1.8,-0.00783798783376344 - 0.00439026016839492i
3.625,4.625,30,1.8,-0.00434882689434601 - 0.00643056272427067i
3.625,4.625,40,1.8,-2.12212031410752E-05 - 0.0052700756473085i
3.625,4.625,50,1.8,0.00571766064135382 - 0.000547337413474014i
3.625,4.625,60,1.8,-0.00149584672868341 + 0.00317538070305743i
3.625,4.625,70,1.8,-0.00525033811022613 + 0.00859860939360105i
3.625,4.625,80,1.8,-0.0125687717577098 + 0.00570945605740338i
3.625,4.625,90,1.8,-0.00942140527574542 + 0.00102160780403079i
3.625,4.625,100,1.8,-0.00865232275677563 - 0.000756458622278466i
3.625,5.625,10,1.8,-0.0327327431930047 + 0.0104288497026573i
3.625,5.625,20,1.8,-0.010237307108548 - 0.00474352817288068i
3.625,5.625,30,1.8,-0.0347825752655836 + 0.00836479050561301i
3.625,5.625,40,1.8,0.00206409250378625 - 0.0050019354921792i
3.625,5.625,50,1.8,-0.00169563762909852 + 1.87430831162794E-05i
3.625,5.625,60,1.8,0.00219102568592167 + 0.00497102709784274i
3.625,5.625,70,1.8,-0.00219998836846225 + 0.00768992971521607i
3.625,5.625,80,1.8,-0.0116868925858268 + 0.00384774073884489i
3.625,5.625,90,1.8,-0.00510265089241413 - 0.00227607891829076i
3.625,5.625,100,1.8,-0.0248708066598986 - 0.000392726637338892i
4.625,-0.4,10,1.8,-0.191404029804282 + 0.524821238937546i
4.625,-0.4,20,1.8,-0.502099877290412 + 0.269189393498491i
4.625,-0.4,30,1.8,-0.534883982565543 - 0.150925057176405i
4.625,-0.4,40,1.8,-0.276598279583395 - 0.478572509014248i
4.625,-0.4,50,1.8,0.125862906831752 - 0.53963306682416i
4.625,-0.4,60,1.8,0.4579640480818 - 0.307462872552587i
4.625,-0.4,70,1.8,0.544116608758218 + 0.0974224893148125i
4.625,-0.4,80,1.8,0.329170120101613 + 0.447293637749323i
4.625,-0.4,90,1.8,-0.0679208404277294 + 0.55297895059113i
4.625,-0.4,100,1.8,-0.42861722210113 + 0.358043539549191i
4.625,-0.375,10,1.8,-0.190567274045991 + 0.453758522300405i
4.625,-0.375,20,1.8,-0.455995257319698 + 0.190265116168252i
4.625,-0.375,30,1.8,-0.460493125455324 - 0.172675330775628i
4.625,-0.375,40,1.8,-0.214659981505554 - 0.437650540251867i
4.625,-0.375,50,1.8,0.144983776884861 - 0.467057084064553i
4.625,-0.375,60,1.8,0.422780463122041 - 0.238454120055938i
4.625,-0.375,70,1.8,0.467179506195666 + 0.107743758443692i
4.625,-0.375,80,1.8,0.261648460342176 + 0.413667303728785i
4.625,-0.375,90,1.8,-0.0957337473144931 + 0.480879239370168i
4.625,-0.375,100,1.8,-0.405182572554145 + 0.29195122136185i
4.625,0.625,10,1.8,-0.0758788766424736 + 0.0691930407684514i
4.625,0.625,20,1.8,-0.101453946668398 + 0.00761184626629624i
4.625,0.625,30,1.8,-0.0802705981304089 - 0.0596899120482367i
4.625,0.625,40,1.8,-0.0148564191546061 - 0.0949514538570186i
4.625,0.625,50,1.8,0.0460155951972414 - 0.0780060017388797i
4.625,0.625,60,1.8,0.0891393808128123 - 0.0151712622258874i
4.625,0.625,70,1.8,0.0792580489787071 + 0.0552787548475678i
4.625,0.625,80,1.8,0.0180774785109521 + 0.0941002422000088i
4.625,0.625,90,1.8,-0.0515889814873778 + 0.0850733298844076i
